                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.76654,                0.50728,                 1.5659,                0.80623,                0.79721,                0.84852,                0.68533,                0.69695,                0.43514,                 1.6296,               0.006634,               0.006634,               0.006634
                    104,                0.76327,                0.50932,                 1.5814,                 0.8051,                0.80377,                0.84973,                0.68614,                0.69677,                0.43481,                 1.6291,               0.006601,               0.006601,               0.006601
                    105,                0.75715,                0.49851,                 1.5779,                0.80544,                0.80295,                0.84949,                0.68617,                0.69645,                0.43479,                 1.6287,               0.006568,               0.006568,               0.006568
                    106,                0.76764,                0.50915,                 1.5735,                0.80462,                 0.7995,                0.84871,                0.68542,                0.69631,                0.43473,                 1.6285,               0.006535,               0.006535,               0.006535
                    107,                0.76141,                0.50317,                 1.5766,                0.80596,                0.79975,                0.84831,                 0.6854,                0.69596,                0.43473,                 1.6285,               0.006502,               0.006502,               0.006502
                    108,                0.76011,                 0.5074,                 1.5708,                0.80609,                0.79754,                0.84805,                0.68534,                0.69572,                0.43471,                 1.6278,               0.006469,               0.006469,               0.006469
                    109,                0.75532,                0.49734,                 1.5631,                0.80432,                0.80244,                0.84894,                0.68605,                0.69527,                0.43464,                 1.6274,               0.006436,               0.006436,               0.006436
                    110,                 0.7617,                0.50693,                 1.5767,                0.81988,                0.78858,                0.84935,                0.68627,                0.69505,                0.43439,                 1.6269,               0.006403,               0.006403,               0.006403
                    111,                0.76215,                0.50435,                  1.571,                0.82343,                0.78534,                0.84954,                  0.687,                0.69478,                0.43414,                 1.6263,                0.00637,                0.00637,                0.00637
                    112,                 0.7567,                0.49824,                 1.5676,                0.81677,                0.79046,                0.84937,                 0.6867,                0.69446,                0.43407,                 1.6257,               0.006337,               0.006337,               0.006337
                    113,                0.74927,                0.49499,                 1.5684,                0.82223,                 0.7882,                 0.8495,                0.68696,                0.69431,                 0.4339,                 1.6254,               0.006304,               0.006304,               0.006304
                    114,                0.74976,                0.49815,                  1.565,                0.81855,                  0.791,                0.84945,                0.68708,                0.69426,                0.43372,                 1.6252,               0.006271,               0.006271,               0.006271
                    115,                0.76636,                 0.5064,                 1.5547,                0.81315,                0.79678,                0.84914,                0.68701,                 0.6937,                0.43365,                 1.6249,               0.006238,               0.006238,               0.006238
                    116,                0.76272,                0.50086,                 1.5599,                0.81334,                0.79489,                0.84877,                0.68643,                0.69351,                0.43367,                 1.6244,               0.006205,               0.006205,               0.006205
                    117,                0.75325,                0.49474,                 1.5507,                0.81525,                0.79347,                0.84818,                0.68655,                0.69346,                0.43351,                  1.624,               0.006172,               0.006172,               0.006172
                    118,                0.76097,                0.50413,                 1.5664,                0.81515,                0.79265,                  0.848,                0.68647,                0.69334,                0.43332,                 1.6239,               0.006139,               0.006139,               0.006139
                    119,                0.75756,                0.50354,                 1.5738,                0.81627,                0.79221,                  0.848,                0.68635,                0.69332,                0.43319,                 1.6238,               0.006106,               0.006106,               0.006106
                    120,                0.75828,                0.50076,                 1.5566,                0.81575,                0.79345,                0.84792,                0.68669,                0.69348,                0.43335,                 1.6231,               0.006073,               0.006073,               0.006073
                    121,                0.75497,                0.49613,                 1.5734,                0.81562,                0.79262,                0.84799,                0.68672,                0.69343,                0.43313,                  1.623,                0.00604,                0.00604,                0.00604
                    122,                0.75197,                0.49597,                 1.5824,                0.81747,                 0.7904,                0.84822,                0.68721,                0.69327,                0.43296,                 1.6228,               0.006007,               0.006007,               0.006007
                    123,                0.75412,                0.50019,                 1.5724,                0.81929,                0.79037,                0.84817,                 0.6872,                0.69299,                0.43284,                 1.6227,               0.005974,               0.005974,               0.005974
                    124,                0.76317,                0.50137,                 1.5718,                0.81396,                0.79533,                0.84828,                0.68716,                0.69301,                0.43266,                 1.6225,               0.005941,               0.005941,               0.005941
                    125,                0.75346,                0.49378,                 1.5683,                0.81252,                0.79653,                0.84855,                0.68766,                0.69303,                0.43253,                  1.622,               0.005908,               0.005908,               0.005908
                    126,                0.76009,                0.49865,                 1.5645,                0.80846,                0.79893,                0.84829,                0.68749,                0.69303,                0.43238,                 1.6218,               0.005875,               0.005875,               0.005875
                    127,                0.75567,                0.49579,                 1.5708,                0.81438,                0.79408,                0.84848,                0.68759,                0.69301,                0.43216,                 1.6215,               0.005842,               0.005842,               0.005842
                    128,                 0.7581,                0.49952,                 1.5704,                  0.816,                0.79273,                0.84886,                0.68766,                0.69298,                  0.432,                 1.6213,               0.005809,               0.005809,               0.005809
                    129,                0.74866,                0.48283,                 1.5622,                 0.8165,                0.79135,                 0.8487,                0.68737,                0.69295,                0.43204,                  1.621,               0.005776,               0.005776,               0.005776
                    130,                0.74331,                0.48684,                 1.5541,                0.81255,                0.79494,                0.84858,                0.68721,                0.69295,                0.43208,                 1.6206,               0.005743,               0.005743,               0.005743
                    131,                0.75343,                0.48695,                 1.5594,                0.81623,                0.79255,                0.84862,                0.68787,                0.69272,                0.43203,                 1.6204,                0.00571,                0.00571,                0.00571
                    132,                0.74815,                0.49266,                 1.5643,                 0.8164,                0.79182,                0.84872,                0.68773,                0.69276,                0.43179,                 1.6201,               0.005677,               0.005677,               0.005677
                    133,                0.75111,                 0.4868,                 1.5468,                0.82054,                0.78858,                0.84861,                0.68765,                0.69275,                0.43181,                 1.6199,               0.005644,               0.005644,               0.005644
                    134,                0.75561,                0.49984,                 1.5601,                0.82008,                0.78896,                0.84863,                0.68787,                0.69277,                0.43167,                 1.6196,               0.005611,               0.005611,               0.005611
                    135,                0.73966,                0.48393,                 1.5502,                0.81702,                 0.7899,                0.84897,                0.68801,                0.69285,                0.43169,                 1.6194,               0.005578,               0.005578,               0.005578
                    136,                0.74795,                0.48703,                 1.5671,                0.81797,                0.79001,                0.84892,                0.68809,                0.69294,                0.43164,                 1.6192,               0.005545,               0.005545,               0.005545
                    137,                 0.7431,                0.48354,                 1.5717,                 0.8189,                0.78945,                0.84906,                0.68823,                0.69284,                0.43153,                 1.6188,               0.005512,               0.005512,               0.005512
                    138,                0.73667,                 0.4874,                 1.5633,                0.81677,                0.79121,                0.84909,                0.68837,                0.69274,                0.43152,                 1.6186,               0.005479,               0.005479,               0.005479
                    139,                0.74288,                0.48617,                 1.5567,                0.81652,                0.79072,                0.84922,                0.68833,                0.69262,                0.43139,                 1.6185,               0.005446,               0.005446,               0.005446
                    140,                0.74521,                0.48322,                 1.5617,                0.81483,                0.79177,                0.84928,                0.68818,                0.69258,                0.43122,                 1.6184,               0.005413,               0.005413,               0.005413
                    141,                0.74412,                0.48688,                 1.5575,                0.81691,                0.79097,                0.84933,                0.68859,                0.69246,                 0.4311,                 1.6182,                0.00538,                0.00538,                0.00538
                    142,                 0.7442,                0.48362,                 1.5651,                0.81715,                0.79097,                 0.8494,                0.68837,                0.69242,                 0.4309,                  1.618,               0.005347,               0.005347,               0.005347
                    143,                0.73805,                0.48576,                  1.557,                0.81585,                0.79196,                0.84957,                0.68828,                 0.6925,                0.43091,                 1.6175,               0.005314,               0.005314,               0.005314
                    144,                0.74325,                0.48993,                 1.5462,                0.81291,                0.79262,                0.84963,                0.68828,                0.69249,                0.43094,                 1.6173,               0.005281,               0.005281,               0.005281
                    145,                0.74465,                0.48342,                 1.5803,                0.81182,                0.79362,                0.84955,                0.68839,                0.69245,                0.43089,                  1.617,               0.005248,               0.005248,               0.005248
                    146,                0.74149,                0.48842,                 1.5562,                0.81146,                0.79477,                 0.8495,                0.68852,                0.69237,                0.43088,                 1.6168,               0.005215,               0.005215,               0.005215
                    147,                0.73676,                0.47875,                 1.5514,                0.81031,                0.79564,                0.84943,                0.68855,                0.69234,                0.43086,                 1.6168,               0.005182,               0.005182,               0.005182
                    148,                0.73087,                 0.4753,                 1.5551,                0.81003,                0.79641,                 0.8492,                0.68825,                0.69228,                0.43072,                 1.6166,               0.005149,               0.005149,               0.005149
                    149,                0.72771,                0.47171,                 1.5664,                0.80799,                0.79756,                0.84919,                0.68827,                0.69235,                0.43067,                 1.6165,               0.005116,               0.005116,               0.005116
                    150,                0.74564,                0.48729,                  1.526,                0.80704,                0.79867,                0.84903,                0.68832,                0.69234,                0.43066,                 1.6164,               0.005083,               0.005083,               0.005083
                    151,                0.73535,                 0.4851,                 1.5431,                0.80599,                0.80016,                0.84899,                0.68817,                0.69233,                0.43075,                 1.6162,                0.00505,                0.00505,                0.00505
                    152,                0.73168,                0.47228,                 1.5549,                0.80459,                0.80207,                0.84895,                  0.688,                0.69223,                0.43067,                 1.6162,               0.005017,               0.005017,               0.005017
                    153,                0.73813,                0.48615,                 1.5595,                0.80503,                0.80226,                0.84906,                0.68815,                0.69213,                0.43062,                  1.616,               0.004984,               0.004984,               0.004984
                    154,                0.73772,                0.47375,                 1.5476,                0.80549,                0.80112,                0.84908,                0.68841,                  0.692,                0.43048,                 1.6159,               0.004951,               0.004951,               0.004951
                    155,                0.73711,                0.47626,                 1.5589,                0.80558,                0.80313,                0.84922,                0.68868,                0.69191,                0.43045,                 1.6159,               0.004918,               0.004918,               0.004918
                    156,                 0.7302,                0.47319,                 1.5567,                0.80619,                0.80353,                0.84943,                0.68889,                0.69182,                 0.4303,                 1.6156,               0.004885,               0.004885,               0.004885
                    157,                0.73038,                 0.4736,                 1.5535,                0.80682,                0.80422,                0.84942,                0.68871,                0.69192,                0.43027,                 1.6154,               0.004852,               0.004852,               0.004852
